artifactNumber	ObjectName	BeginDate	group1	category1	material	Length	Width	Height	image
1966.0054.001	"""Holder, roll film"""	Unknown	Craft	Still camera parts	metal->steel;fibre->velvet	24.0 cm	23.0 cm	14.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0054.001.aa.cs.png
1966.0055.001	"""Holder, roll film"""	Unknown	Craft	Still camera parts	metal->steel;glass	36.5 cm	34.0 cm	18.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0055.001.aa.cs.png
1966.0056.001	Camera	Unknown	Craft	Still cameras	metal->steel;glass;synthetic;wood	37.8 cm	36.6 cm	24.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0056.001.aa.cs.png
1966.0056.002	"""Holder, roll film"""	Unknown	Craft	Still cameras	metal->steel;glass;synthetic;wood	32.5 cm	32.7 cm	15.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0056.002.aa.cs.png
1966.0057.001	Camera	Unknown	Craft	Still cameras	metal->steel;metal->brass;wood	43.0 cm	24.5 cm	42.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0057.001.aa.cs.png
1966.0062.001	Wagon undercarriage	Unknown	Transport	Animal powered	wood;metal	316.0 cm	198.0 cm	300.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0062.001.aa.cs.png
1966.0065.001	"""Plate, equipment number"""	1917	Transport	Miscellaneous	metal->brass	42.5 cm	28.2 cm	1.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0065.001.aa.cs.png
1966.0066.001	"""Plate, equipment number"""	1913	Transport	Miscellaneous	metal->brass	42.5 cm	27.9 cm	1.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0066.001.aa.cs.png
1966.0067.001	"""Plate, equipment number"""	1919	Transport	Miscellaneous	metal->brass	41.9 cm	27.5 cm	1.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0067.001.aa.cs.png
1966.0074.001	Propeller	1920	Transport	Aircraft parts	wood;fibre	245.0 cm	20.0 cm	15.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.png
1966.0077.001	Propeller	Unknown	Transport	Aircraft parts	wood	208.0 cm	22.7 cm	8.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0077.001.aa.cs.png
1966.0081.001	Propeller	Unknown	Transport	Aircraft parts	wood	181.0 cm	150 cm	7.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0081.001.aa.cs.png
1966.0093.001	"""Helmet, flying"""	Unknown	Transport	Clothing	skin->leather;skin->chamois;fibre->velvet;metal->;synthetic->bakelite;resin->rubber	33.0 cm	21.0 cm	8.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0093.001.aa.cs.png
1966.0094.001	"""Helmet, flying"""	1940	Transport	Clothing	fibre->gabardine;skin->sheep;skin->leather;metal	43.0 cm	23.0 cm	8.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0094.001.aa.cs.png
1966.0095.001	"""Helmet, flying"""	1942	Transport	Clothing	skin->leather;resin->rubber;metal	37.0 cm	23.0 cm	6.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0095.001.aa.cs.png
1966.0096.001	"""Helmet, flying"""	1930	Transport	Clothing	skin->leather;skin->chamois;metal	41.0 cm	24.0 cm	7.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.png
1966.0097.001	"""Helmet, flying"""	Unknown	Transport	Clothing	skin->leather;metal	44.0 cm	26.0 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0097.001.aa.cs.png
1966.0098.001	"""Helmet, flying"""	Unknown	Transport	Clothing	skin->leather;skin->pelt;skin->chamois;resin->rubber;metal;fibre	26.0 cm	23.0 cm	11.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0098.001.aa.cs.png
1966.0099.001	"""Helmet, flying"""	Unknown	Transport	Clothing	fibre->canvas;fibre->felt;skin->leather;resin->rubber;metal	22.0 cm	18.0 cm	8.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0099.001.aa.cs.png
1966.0100.001	"""Helmet, flying"""	1943	Transport	Clothing	fibre->canvas;fibre->felt;skin->leather;resin->rubber;metal	24.5 cm	18.0 cm	9.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0100.001.aa.cs.png
1966.0101.001	"""Cover, cap"""	1920	Transport	Clothing	fibre->linen - possible	26.2 cm	20.7 cm	7.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0101.001.aa.cs.png
1966.0102.001	"""Goggles, flying"""	Unknown	Transport	Clothing	skin->leather;synthetic->plastic;metal->;fibre->cotton - possible;fibre->velvet	25.0 cm	10.5 cm	3.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0102.001.aa.cs.png
1966.0103.001	"""Goggles, flying"""	1942	Transport	Clothing	skin->leather;synthetic->plastic;metal->;fibre->cotton - possible;fibre->velvet	27.0 cm	14.0 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0103.001.aa.cs.png
1966.0104.001	"""Goggles, flying"""	Unknown	Transport	Clothing	resin->rubber;synthetic->plastic;synthetic->elastic;metal->tin	23.0 cm	10.0 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0104.001.aa.cs.png
1966.0105.001	"""Goggles, flying"""	Unknown	Transport	Clothing	synthetic->plastic;synthetic->foam;synthetic->elastic;metal->tin - possible	24.0 cm	13.5 cm	4.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0105.001.aa.cs.png
1966.0106.001	"""Glove, flying"""	Unknown	Transport	Clothing	skin->leather;fibre->felt;metal	37.0 cm	22.4 cm	3.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0106.001.aa.cs.png
1966.0107.001	"""Liner, flying boot"""	Unknown	Transport	Clothing	fibre->cotton;skin->hide;skin->leather	36.0 cm	32.0 cm	6.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0107.001.aa.cs.png
1966.0108.001	"""Coverall, flying"""	Unknown	Transport	Clothing	skin->chamois;skin->leather;skin->pelt;synthetic->plastic;metal	160.0 cm	52.0 cm	11.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0108.001.aa.cs.png
1966.0109.001	"""Coverall, flying"""	Unknown	Transport	Clothing	fibre->cotton;metal	163.0 cm	58.0 cm	6.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0109.001.aa.cs.png
1966.0110.001	"""Cap, flying"""	Unknown	Transport	Clothing	skin->leather;skin->sheep	31.0 cm	27.5 cm	6.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0110.001.aa.cs.png
1966.0111.001	"""Coat, flying"""	Unknown	Transport	Clothing	skin->leather;skin->pelt;metal->;synthetic->bakelite	126.0 cm	73.0 cm	10.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0111.001.aa.cs.png
1966.0112.001	"""Boot, flying"""	1940	Transport	Clothing	skin->leather;skin->sheep;metal	32.0 cm	13.0 cm	25.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0112.001.aa.cs.png
1966.0114.001	Rocket	1959	Transport	Space science	metal	824.0 cm	173.0 cm	172.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0114.001.aa.cs.png
1966.0115.001	Rocket model	1960	Transport	Space science	metal;synthetic	104.5 cm	21.5 cm	10.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0115.001.aa.cs.png
1966.0116.001	Coat	1985	Transport	Clothing & personal safety apparatus	fibre->canvas;fibre->cotton;fibre->wool;metal;synthetic	100.0 cm	59.0 cm	30.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.001.aa.cs.png
1966.0116.002	Coat	1985	Transport	Clothing & personal safety apparatus	fibre->canvas;fibre->cotton;fibre->wool;metal;synthetic	100.0 cm	59.0 cm	30.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0116.002.aa.cs.png
1966.0118.001	Airplane model	Unknown	Transport	Models	wood->;fibre->silk;synthetic->plastic	53.5 cm	98.2 cm	15.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0118.001.aa.cs.png
1966.0119.001	Airplane model	1918	Transport	Models	wood;metal	34.7 cm	55.3 cm	12.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0119.001.aa.cs.png
1966.0139.001	"""Lamp, electric"""	Unknown	Technology	Lighting devices	glass;metal	16.5 cm	15.1 cm	29.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0139.001.aa.cs.png
1966.0140.001	Switch	1926	Technology	User site	metal->brass;metal->steel;synthetic->bakelite;ceramic	11.4 cm	11.4 cm	5.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0140.001.aa.cs.png
1966.0141.001	Ship model	1900	Transport	Models	wood;metal;fibre;glass	125.0 cm	38.5 cm	105.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0141.001.aa.cs.png
1966.0142.001	Earphone	1920	Technology	Radio	metal;synthetic;fibre	18.5 cm	13.3 cm	4.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0142.001.aa.cs.png
1966.0151.001	"""Ski, airplane"""	Unknown	Transport	Aircraft parts	wood->oak;metal->brass;metal->aluminum	213.7 cm	127.2 cm	149.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0151.001.aa.cs.png
1966.0152.001	Ski-float combination	Unknown	Transport	Aircraft parts	metal->;synthetic->plexiglass	500.0 cm	54.0 cm	70.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0152.001.aa.cs.png
1966.0156.001	Photograph	1902	Craft	Still images	metal->;synthetic->celluloid - possible;paper->cardboard;fibre	7.2 cm	5.8 cm	2.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0156.001.aa.cs.png
1966.0159.001	"""Tester, hardness"""	1930	Technology	Industrial equipment	metal;wood	50.0 cm	22.0 cm	40.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0159.001.aa.cs.png
1966.0160.001	"""Gauge, steam"""	1900	Transport	Vessel parts	metal->brass;glass	26.4 cm	26.0 cm	7.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0160.001.aa.cs.png
1966.0161.001	"""Gauge, steam"""	Unknown	Transport	Vessel parts	metal->brass;glass	36.5 cm	25.9 cm	7.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0161.001.aa.cs.png
1966.0162.001	"""Compass, bearing"""	1956	Transport	Navigation instruments & equipment	metal;glass	38.0 cm	37.0 cm	34.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0162.001.aa.cs.png
1966.0163.001	"""Compass, bearing"""	1944	Transport	Navigation instruments & equipment	metal;glass	37.0 cm	34.0 cm	37.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0163.001.aa.cs.png
1966.0164.001	Propeller	Unknown	Transport	Vessel parts	metal->bronze	67.0 cm	63.0 cm	14.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0164.001.aa.cs.png
1966.0165.001	Propeller	1930	Transport	Vessel parts	metal->bronze	57.0 cm	27.2 cm	12.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0165.001.aa.cs.png
1966.0168.001	"""Roller, sheet metal"""	1860	Technology	Tools-Machine	wood->;metal->steel;metal->iron	206.0 cm	199.5 cm	180.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0168.001.aa.cs.png
1966.0169.001	"""Stoker model, automatic"""	Unknown	Transport	Models	metal->steel	201.0 cm	94.0 cm	162.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0169.001.aa.cs.png
1966.0170.001	Valve gear model	1930	Transport	Models	wood;metal	149.5 cm	25.2 cm	64.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0170.001.aa.cs.png
1966.0171.001	Valve gear model	1930	Transport	Models	wood;metal	149.5 cm	30.3 cm	81.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0171.001.aa.cs.png
1966.0172.001	"""Engine, diesel"""	1925	Transport	Motive power	metal	105.0 cm	96.0 cm	154.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0172.001.aa.cs.png
1966.0173.001	Winch	Unknown	Transport	Vessel parts	metal->iron	180.0 cm	168.0 cm	158.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0173.001.aa.cs.png
1966.0174.001	Governor	1909	Technology	Power sources	metal->brass	165.0 cm	54.0 cm	174.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0174.001.aa.cs.png
1966.0175.001	"""Splitter, leather"""	Unknown	Technology	Tools & equipment-trades	metal;synthetic;wood;fibre	121.0 cm	51.0 cm	114.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0175.001.aa.cs.png
1966.0176.001	Rail section	1886	Transport	Operations	metal	57.5 cm	16.5 cm	12.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0176.001.aa.cs.png
1966.0177.001	Rail section	Unknown	Transport	Operations	metal	25.5 cm	13.7 cm	15.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0177.001.aa.cs.png
1966.0178.001	"""Engine, steam"""	Unknown	Technology	Power sources	metal	411.0 cm	120.0 cm	189.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0178.001.aa.cs.png
1966.0179.001	"""Engine, marine"""	Unknown	Transport	Motive power	metal;synthetic	228.0 cm	117.0 cm	140.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0179.001.aa.cs.png
1966.0180.001	Snowblower	1926	Technology	Civil engineering	metal->;wood->;synthetic->;resin->rubber	695.0 cm	143.0 cm	300.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0180.001.aa.cs.png
1966.0181.001	"""Engine, marine"""	Unknown	Transport	Motive power	metal;synthetic;glass	380.0 cm	157.0 cm	170.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0181.001.aa.cs.png
1966.0182.001	Outboard motor	Unknown	Transport	Motive power	metal;fibre	31.8 cm	12.7 cm	88.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0182.001.aa.cs.png
1966.0184.001	"""Washer, wringer"""	Unknown	Technology	Laundry	Unknown	64.5 cm	59.0 cm	122.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0184.001.aa.cs.png
1966.0185.001	Outboard motor	1952	Transport	Motive power	metal->steel;metal->aluminum - possible;resin->rubber;synthetic->plastic	52.5 cm	35.0 cm	129.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0185.001.aa.cs.png
1966.0186.001	Outboard motor	1950	Transport	Motive power	metal->steel	35.0 cm	16.0 cm	86.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0186.001.aa.cs.png
1966.0187.001	Oiler	Unknown	Transport	Servicing	metal->tin - possible	35.0 cm	13.7 cm	28.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0187.001.aa.cs.png
1966.0188.001	Thermobarograph	Unknown	Science	Combination instruments	metal->brass	34.0 cm	18.0 cm	30.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0188.001.aa.cs.png
1966.0189.001	Photograph	Unknown	Transport	Archives	paper;glass;wood	37.7 cm	30.0 cm	1.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0189.001.aa.cs.png
1966.0191.001	"""Plaque, commemorative"""	1959	Technology	Commemorative	metal->brass;wood->mahogany;fibre->felt	10.4 cm	8.0 cm	14.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0191.001.aa.cs.png
1966.0193.001	Computer	1958	Technology	Digital computing devices	metal->;resin->rubber;glass;fibre	220.0 cm	121.0 cm	136.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0193.001.aa.cs.png
1966.0195.001	Sextant	1938	Transport	Aircraft instruments	metal->aluminum;synthetic->bakelite;glass	25.0 cm	16.2 cm	19.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0195.001.aa.cs.png
1966.0196.001	Sextant	1938	Transport	Aircraft instruments	metal->aluminum;synthetic->bakelite;resin->rubber	25.0 cm	16.2 cm	19.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0196.001.aa.cs.png
1966.0198.001	Mandolin	1900	Technology	Music	wood->;metal->steel;bone->ivory;fibre->felt;synthetic	61.2 cm	22.3 cm	9.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0198.001.aa.cs.png
1966.0199.001	Airplane model	Unknown	Transport	Models	metal	42.8 cm	43.7 cm	25.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0199.001.aa.cs.png
1966.0200.001	Airplane model	1960	Transport	Models	synthetic->plastic;metal->;fibre->felt	24.5 cm	27.4 cm	15.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0200.001.aa.cs.png
1966.0201.001	Airplane model	1975	Transport	Models	synthetic->plastic;metal	41.6 cm	35.9 cm	20.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0201.001.aa.cs.png
1966.0202.001	Airplane model	1953	Transport	Models	Unknown	67.0 cm	45.5 cm	16.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0202.001.aa.cs.png
